check	O
time	O
metro	LOCATION
station	LOCATION
room	ROOM
floor	ROOM
noisy	ROOM
night	O
recommendation	O
request	O
non	O
easy	O
access	O
train	LOCATION
decision	O
stay	O
property	O
street	LOCATION
hotel	LOCATION
doors	ROOM
nothing	O
service	SERVICE
rooms	ROOM
pool	FACILITY
area	LOCATION
h	O
tel	O
renovations	O
description	O
website	FACILITY
a	O
side	O
door	ROOM
desk	ROOM
staff	SERVICE
wansent	O
book	O
got	O
money	VALUE
feel	O
example	O
could	O
concierge	O
amazing	O
super	LOCATION
location	LOCATION
sister	O
paris	LOCATION
literally	O
center	O
everything	O
beautiful	LOCATION
front	O
room	ROOM
size	O
sofa	ROOM
places	LOCATION
wall	ROOM
areas	O
trip	O
madrid	LOCATION
taxi	FACILITY
drivers	FACILITY
exception	O
euros	VALUE
blocks	LOCATION
circles	O
fool	O
relatively	O
tiny	O
price	VALUE
staff	O
breakfast	MEAL
deal	O
transportation	LOCATION
very	O
sunday	O
farmers	LOCATION
market	LOCATION
great	O
experience	O
beds	ROOM
location	LOCATION
bit	O
friendly	SERVICE
facilities	FACILITY
sachets	MEAL
coffee	MEAL
mini	O
pots	MEAL
milk	MEAL
chocolate	MEAL
addition	O
bed	ROOM
sheets	ROOM
nothing	O
elevators	FACILITY
suitcases	SERVICE
way	O
carpet	ROOM
slow	O
liftsc	O
nice	O
music	O
lounge	MEAL
bar	MEAL
lot	O
noise	ROOM
des	O
sciences	O
industies	O
towels	SERVICE
good	O
value	VALUE
small	O
quality	SERVICE
star	O
category	O
amazing	O
perfect	O
tec	O
touches	O
everything	O
windows	ROOM
bathroom	ROOM
prestige	O
lift	FACILITY
everything	O
man	O
reception	SERVICE
thank	O
options	O
kids	O
excellent	O
work	O
days	O
towels	ROOM
day	O
rate	O
problem	O
rooms	ROOM
snug	O
make	O
respect	SERVICE
question	SERVICE
disgrace	O
hours	O
wine	O
cheese	MEAL
report	O
expensive	VALUE
standard	O
hotels	LOCATION
cities	LOCATION
helpful	SERVICE
chic	O
magazine	O
photo	O
walk	O
eiffel	LOCATION
tower	LOCATION
design	O
colors	O
means	O
wifi	FACILITY
connection	O
occasions	O
speed	O
distance	LOCATION
metro	LOCATION
clean	ROOM
flow	O
showerhead	ROOM
review	O
fact	O
booking.com	O
booking	O
family	O
london	LOCATION
let	O
okay	O
decides	O
standing	O
rain	O
minutes	O
person	SERVICE
customer	O
air	FACILITY
conditioner	FACILITY
master	O
vent	O
bedroom	ROOM
people	SERVICE
living	O
again	O
cleanliness	ROOM
shampoo	ROOM
toiletries	ROOM
but	O
the	O
worst	O
part	O
about	O
this	O
hotel	LOCATION
noise	LOCATION
mention	O
big	O
lie	O
city	LOCATION
party	O
courtyard	LOCATION
band	O
shook	O
ear	FACILITY
plugs	FACILITY
sound	O
english	MEAL
variety	O
restaurants	MEAL
try	O
internet	FACILITY
stuff	O
excellent	O
lots	O
ladies	O
tea	ROOM
ok	O
offer	O
blankets	ROOM
basket	O
complaining	O
idea	O
order	O
drinks	MEAL
point	O
hair	O
travel	LOCATION
airport	LOCATION
breakfast	MEAL
mins	O
louvre	O
river	LOCATION
would	O
shower	ROOM
bed	ROOM
favorite	O
districts	O
attention	O
personnel	O
bonus	O
valet	FACILITY
above	O
average	O
opinion	O
breakfasts	MEAL
establishment	O
evening	O
pain	O
google	FACILITY
map	LOCATION
taxi	FACILITY
routes	LOCATION
arrival	LOCATION
porter	O
lady	SERVICE
luggage	SERVICE
gusto	O
machines	O
water	ROOM
definitely	O
mr	O
benjamin	O
driver	FACILITY
bags	FACILITY
car	FACILITY
meters	LOCATION
supermarket	LOCATION
building	LOCATION
regardless	O
buz	O
pleasure	O
ask	SERVICE
copy	O
details	O
credit	FACILITY
card	FACILITY
ok	O
cvv	FACILITY
number	O
information	O
use	O
purchases	O
policy	O
space	O
hangars	ROOM
outlets	LOCATION
quinton	O
host	O
reservations	O
recommendations	O
wife	O
town	LOCATION
nightlife	LOCATION
touristing	LOCATION
anyways	O
food	MEAL
reason	O
units	O
months	O
temperature	O
level	O
put	O
sleep	ROOM
close	O
morning	O
roof	FACILITY
refurbishment	SERVICE
river	LOCATION
issue	O
tv	ROOM
con	O
comfortabley	O
roof	FACILITY
minuets	O
pounds	VALUE
wait	O
brillant	O
park	FACILITY
see	O
selection	O
cereal	O
fruit	MEAL
section	O
my	O
couch	ROOM
foot	O
end	O
bath	ROOM
anyone	O
mobility	FACILITY
problems	O
beware	O
n	O
apartment	ROOM
sights	O
cozy	ROOM
figure	O
sort	O
partner	O
birthday	O
simply	O
too	O
high	O
pillows	ROOM
stars	O
approach	O
view	O
ipad	FACILITY
bar	MEAL
view	O
taps	O
mixer	ROOM
couple	O
bottles	MEAL
brush	O
comfortable	ROOM
place	LOCATION
upgrade	O
children	O
girlfriend	O
see	O
etc..	O
anthony	O
world	O
window	ROOM
dungeon	LOCATION
conductioner	FACILITY
neighborhood	LOCATION
kensington	O
choices	O
know	O
paddington	LOCATION
having	O
boiler	ROOM
guests	O
upon	O
member	SERVICE
management	SERVICE
matter	O
dissatisfaction	SERVICE
substitute	O
booking.com	O
something	O
boilers	ROOM
instance	O
transport	LOCATION
links	O
always	O
bad	O
reception	O
charges	SERVICE
explanation	O
hilton	O
close	O
tube	O
heath	O
row	O
express	O
concierge	O
expectations	SERVICE
condition	ROOM
bacon	MEAL
buffet	MEAL
will	O
heating	O
loud	O
throat	O
cookie	MEAL
leisure	SERVICE
relaxation	O
riverside	LOCATION
assist	SERVICE
phones	FACILITY
awesome	O
ferry	O
convenient	FACILITY
excel	O
o2	O
prepaid	FACILITY
wifi	SERVICE
router	O
issues	O
facility	FACILITY
terras	FACILITY
restaurant	MEAL
boyfriend	O
plaza	MEAL
bottle	MEAL
prosecco	MEAL
saturday	O
central	LOCATION
busy	LOCATION
checkout	FACILITY
automated	O
bridge	LOCATION
dlr	O
transfer	O
city	LOCATION
airport	LOCATION
hotel	LOCATION
just	O
thing	O
pm	O
desserts	MEAL
detail	O
king	O
charge	O
superior	O
employees	SERVICE
dinner	MEAL
tea	MEAL
coffe	MEAL
brilliant	O
hill	LOCATION
check	SERVICE
key	O
entry	O
tray	MEAL
change	O
menu	O
overall	O
attention	O
presentation	O
buildings	LOCATION
ambiance	O
britannia	MEAL
international	O
thames	O
comfy	ROOM
wi	ROOM
device	ROOM
restaurants	MEAL
site	O
box	O
cleanliness	SERVICE
facilities	FACILITY
mattress	ROOM
wood	ROOM
pillows	ROOM
rock	O
natalia	O
lobby	O
proof	O
hour	O
till	O
so	O
free	FACILITY
potato	MEAL
crackers	O
david	O
kind	O
snd	O
ac	ROOM
noises	O
fridge	MEAL
